scorer,,,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce,mouce
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img106.png,626.258037107685,526.6796043093991,588.1874315174789,510.127167096266,545.1510947633328,506.8166796536394,543.4958510420196,543.2320415225322,449.1469589271609,473.71180522737325,354.7980668123023,559.7844787356653,248.86246864825048,574.6816722274851,167.7555263038983,645.8571522439574,492.18329568130696,582.9578908340517,512.0462203370666,599.5103280471848,389.5581849598818,594.5445968832448,414.38684077958146,606.131302932438
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img115.png,699.0887608454707,508.4719233749528,661.0181552552646,496.8852173257595,617.9818185011185,490.26424244050634,611.3608436158653,536.611066637279,493.8385394026203,480.33278011262644,407.76586589432816,558.129235014352,286.9330742384566,571.3711847848584,182.6527197957181,630.9599587521376,591.4979189601055,573.0264285061718,611.3608436158653,589.5788657193049,454.11269009110083,596.1998406045582,490.5280519599936,604.4760592111247
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img123.png,800.0586278455826,511.7824108175794,770.264240861943,500.19570476838624,727.2279041077969,500.19570476838624,727.2279041077969,534.9558229159657,584.8769440748523,483.64326755525303,472.3203710255473,544.8872852438456,339.90087332048256,571.3711847848584,210.79186305804436,607.7865466537513,641.1552305995049,569.7159410635452,657.707667812638,602.8208154898114,490.5280519599936,573.0264285061718,500.4595142878735,599.5103280471848
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img127.png,871.2341078620549,477.02229266999984,834.818745993162,477.02229266999984,791.782409239016,488.608998719193,805.0243590095224,520.0586294241459,657.707667812638,475.3670489486865,551.7720696485861,538.2663103585922,409.4211096156415,534.9558229159657,257.138687254817,538.2663103585922,770.264240861943,576.3369159487984,783.5061906324495,587.9236219979916,599.774137566672,586.2683782766783,642.8104743208181,602.8208154898114
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img133.png,922.5466632227674,448.8831494076736,884.4760576325614,447.22790568636026,843.0949645997285,472.0565615060599,841.4397208784153,510.127167096266,713.9859543372904,480.33278011262644,613.0160873371785,553.1635038504121,462.3889086976674,566.4054536209186,331.624654713916,582.9578908340517,813.300577616089,566.4054536209186,833.1635022718488,601.165571768498,617.9818185011184,574.681672227485,641.1552305995049,607.7865466537513
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img138.png,957.306781370347,551.5082601290987,932.4781255506474,526.6796043093992,905.9942260096344,508.4719233749528,871.2341078620549,534.9558229159657,743.78034132093,481.9880238339398,636.1894994355649,559.7844787356653,490.5280519599936,582.9578908340517,341.5561170417958,581.3026471127383,823.2320399439689,574.6816722274851,836.4739897144754,604.4760592111247,704.0544920094105,596.1998406045581,743.7803413209301,606.131302932438
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img146.png,1064.897623255712,513.4376545388926,1038.413723714699,515.092898260206,1003.6536055671197,506.8166796536394,983.7906809113599,531.6453354733391,864.6131329768016,475.3670489486866,770.264240861943,539.9215540799056,627.9132808289984,548.1977726864721,500.4595142878735,543.2320415225322,987.1011683539866,581.3026471127383,1023.5165302228793,596.1998406045582,776.8852157471962,563.0949661782919,801.7138715668958,602.8208154898114
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img151.png,1114.5549348951113,453.84888057161356,1084.7605479114718,462.1250991781801,1045.0346985999524,478.6775363913132,1061.5871358130855,511.7824108175794,919.2361757801408,472.0565615060599,819.9215525013423,546.5425289651588,694.1230296815307,553.1635038504121,551.7720696485861,549.8530164077855,1000.343118124493,566.4054536209186,1023.5165302228793,596.1998406045582,876.1998390259948,581.3026471127383,924.2019069440807,591.2341094406182
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img154.png,1122.8311535016778,483.64326755525303,1091.381522796725,472.0565615060599,1051.6556734852056,480.33278011262644,1054.966160927832,516.7481419815193,932.4781255506473,473.71180522737325,828.1977711079088,558.129235014352,704.0544920094106,559.7844787356653,561.7035319764659,548.1977726864721,1003.6536055671197,569.7159410635452,1023.5165302228793,596.1998406045582,889.4417887965012,594.5445968832448,935.7886129932739,601.165571768498
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img163.png,1154.2807842066309,520.0586294241459,1107.933960009858,506.8166796536394,1061.5871358130855,510.127167096266,1066.5528669770254,546.5425289651588,962.2725125342868,470.40131778474665,856.336914370235,539.9215540799056,720.6069292225437,554.8187475717253,594.8084064027322,556.4739912930387,1041.7242111573257,586.2683782766783,1058.2766483704588,592.8893531619315,899.3732511243811,584.6131345553649,934.1333692719606,602.8208154898114
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img172.png,1129.4521283869312,407.5020563748409,1094.6920102393517,424.054493587974,1064.897623255712,447.22790568636026,1079.7948167475317,500.1957047683861,977.1697060261065,462.12509917818,894.4075199604412,564.7502098996052,778.5404594685095,568.0606973422318,632.8790119929383,573.0264285061718,1069.863354419652,604.4760592111247,1053.310917206519,569.7159410635452,917.5809320588274,589.578865719305,963.9277562556002,586.2683782766783
labeled-data,11cfff5804f6a011a298f816d6f69e8c,img178.png,1101.312985124605,376.05242566988795,1073.1738418622786,399.22583776827435,1045.0346985999524,430.67546847322717,1074.829085583592,462.1250991781801,955.6515376490337,452.1936368503002,902.6837385670077,569.7159410635452,765.298509698003,582.9578908340517,624.6027933863717,587.9236219979916,1063.2423795343987,543.2320415225322,1071.5185981409652,597.8550843258714,965.5829999769135,589.5788657193049,1025.1717739441926,606.131302932438
